Nom;Prénom;Prénom 2;Date de naissance;Identifiant;Diplômes;Composante;Public;Date;Heure;Durée;Type;Matière;Identifiant matière;Enseignement;Identifiant de l'enseignement;Absent/Présent;Justification;Motif absence;Commentaire;Groupes;Salles;Profs;Contrôle
Blanc;Antoine;Pierre;1997-06-12;98765432;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;04/12/2025;8H00;2H00;TP;INFFIS3-DEVELOPPEMENT DAPPLICATIONS AVEC IHM (T3BUTINFFI-R3.01);11223344;INFFIS3-DEVELOPPEMENT DAPPLICATIONS AVEC IHM (T3BUTINFFI-R3.01)-TP;;Absence;Absence justifiée;Stage;Entretien stage;BUT2 INFO TPA;PUM 112;VINCENT CLAIRE;Non
Blanc;Antoine;Pierre;1997-06-12;98765432;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;04/12/2025;10H00;1H30;CM;INFFIS3-ADMINISTRATION DES SYSTEMES ET DES RESEAUX (T3BUTINFFI-R3.05);22334455;INFFIS3-ADMINISTRATION DES SYSTEMES ET DES RESEAUX (T3BUTINFFI-R3.05)-CM;;Absence;Absence justifiée;Stage;Entretien stage;BUT2 INFO;PUM AMPHI;THOMAS ERIC;Non
Rousseau;Lea;Charlotte;1998-12-03;87654320;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;05/12/2025;14H00;1H30;TD;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-TD;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM 118;ANDRE PHILIPPE;Oui
Rousseau;Lea;Charlotte;1998-12-03;87654320;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/12/2025;8H00;1H30;CM;INFFIS3-CRYPTOGRAPHIE ET SECURISATION (T3BUTINFFI-R3.06);44556677;INFFIS3-CRYPTOGRAPHIE ET SECURISATION (T3BUTINFFI-R3.06)-CM;;Absence;Non justifié;?;;BUT2 INFO;PUM AMPHI;MICHEL ISABELLE;Non
Garcia;Maxime;Jules;1997-08-20;76543219;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;09/12/2025;9H30;2H00;TP;INFFIS3-DEVELOPPEMENT DAPPLICATIONS WEB (T3BUTINFFI-R3.02);55667788;INFFIS3-DEVELOPPEMENT DAPPLICATIONS WEB (T3BUTINFFI-R3.02)-TP;;Absence;Absence justifiée;Rendez-vous administratif;Prefecture;BUT2 INFO TPB;PUM 114;GAUTHIER NATHALIE;Non
Garcia;Maxime;Jules;1997-08-20;76543219;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;09/12/2025;14H00;1H30;TD;INFFIS3-MATHEMATIQUES (T3BUTINFFI-R3.08);66778899;INFFIS3-MATHEMATIQUES (T3BUTINFFI-R3.08)-TD;;Absence;Absence justifiée;Rendez-vous administratif;Prefecture;BUT2 INFO TDB;PUM 105;ROUX ANTOINE;Oui
Leroux;Chloe;Sarah;1998-03-07;65432108;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;10/12/2025;8H00;1H30;TD;INFFIS3-ADMINISTRATION DES SYSTEMES ET DES RESEAUX (T3BUTINFFI-R3.05);22334455;INFFIS3-ADMINISTRATION DES SYSTEMES ET DES RESEAUX (T3BUTINFFI-R3.05)-TD;;Absence;Non justifié;?;;BUT2 INFO TDC;PUM 114;THOMAS ERIC;Non
Girard;Nathan;Louis;1997-11-15;54321097;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;11/12/2025;10H00;1H30;CM;INFFIS3-ANGLAIS (T3BUTINFFI-R3.12);77889900;INFFIS3-ANGLAIS (T3BUTINFFI-R3.12)-CM;;Absence;Absence justifiée;Probleme familial;Deces proche;BUT2 INFO;PUM AMPHI;LAMBERT CHRISTINE;Non
Girard;Nathan;Louis;1997-11-15;54321097;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;11/12/2025;14H00;2H00;TP;INFFIS3-DEVELOPPEMENT DAPPLICATIONS AVEC IHM (T3BUTINFFI-R3.01);11223344;INFFIS3-DEVELOPPEMENT DAPPLICATIONS AVEC IHM (T3BUTINFFI-R3.01)-TP;;Absence;Absence justifiée;Probleme familial;Deces proche;BUT2 INFO TPC;PUM 112;VINCENT CLAIRE;Non
Mercier;Manon;Elise;1998-07-28;43210986;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;12/12/2025;8H00;1H30;TD;INFFIS3-CRYPTOGRAPHIE ET SECURISATION (T3BUTINFFI-R3.06);44556677;INFFIS3-CRYPTOGRAPHIE ET SECURISATION (T3BUTINFFI-R3.06)-TD;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM 118;MICHEL ISABELLE;Oui
