Nom;Prénom;Prénom 2;Date de naissance;Identifiant;Diplômes;Composante;Public;Date;Heure;Durée;Type;Matière;Identifiant matière;Enseignement;Identifiant de l'enseignement;Absent/Présent;Justification;Motif absence;Commentaire;Groupes;Salles;Profs;Contrôle
Dupont;Jean;Marie;1995-03-15;12345601;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Martin;Sophie;Louise;1996-07-22;12345602;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;Maladie;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Bernard;Thomas;Pierre;1995-11-08;12345603;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Petit;Emma;Julie;1996-01-30;12345604;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;Problème de transport;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Robert;Lucas;Antoine;1995-09-14;12345605;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Richard;Chloé;Marie;1996-05-19;12345606;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Absence justifiée;CERTIFICAT MEDICAL;;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Durand;Alexandre;Paul;1995-12-03;12345607;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;Réveil manqué;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Simon;Léa;Sarah;1996-04-25;12345608;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Laurent;Hugo;Marc;1995-08-11;12345609;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;Urgence familiale;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
Moreau;Camille;Anne;1996-02-17;12345610;BUT2 INFORMATIQUE (T3BUTINF-A2) - FI;IUT;FI;06/01/2026;8H00;2H00;DS;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09);33445566;INFFIS3-GESTION DE PROJET & DES ORGANISATIONS (T3BUTINFFI-R3.09)-DS;;Absence;Non justifié;?;;BUT2 INFO TDA;PUM AMPHI;ANDRE PHILIPPE;Oui
